Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
16,"YCG Yen, SP Dow, E Gerber, BP Bailey","Listen to others, listen to yourself: Combining feedback review and reflection to improve iterative design",2017,Proceedings of the 2017 ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3059454.3059468,"https://scholar.google.com/scholar?cites=13198331250483643507&as_sdt=2005&sciodt=0,5&hl=en",59,16,5.33,4,4,3,"Feedback from diverse audiences can contain ambiguity and contradictions, making it difficult to interpret and act on. To promote deeper interpretation of feedback, we tested the effects of combining a reflection activity and reviewing external feedback for an iterative …"
15,"M Sharmin, BP Bailey",ReflectionSpace: an interactive visualization tool for supporting reflection-on-action in design,2013,Proceedings of the 9th ACM Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2466627.2466645,"https://scholar.google.com/scholar?cites=18229763842145869621&as_sdt=2005&sciodt=0,5&hl=en",56,15,2.14,8,2,7,"ABSTRACT Reflection-in-and-on-action are key elements of creative design. While reflection-in-action has been often studied, reflection-on-action has received less attention. In this paper, we fill this gap by first reporting results from in-depth interviews (N= 12) with …"
15,"SR Herring, CM Poon, GA Balasi…",TweetSpiration: leveraging social media for design inspiration,2011,CHI'11 Extended Abstracts …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1979742.1979923,"https://scholar.google.com/scholar?cites=17294511515027554568&as_sdt=2005&sciodt=0,5&hl=en",57,15,1.67,4,4,9,"ABSTRACT We present TweetSpiration, a Web-based application that leverages social media to inspire new search directions on the Web. TweetSpiration can be used at any time, but it is particularly beneficial when designers have difficulty developing new search terms …"
15,"RZ Moghaddam, BP Bailey, C Poon",Ideatracker: an interactive visualization supporting collaboration and consensus building in online interface design discussions,2011,IFIP Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-23774-4_23,"https://scholar.google.com/scholar?cites=7731286207430161549&as_sdt=2005&sciodt=0,5&hl=en",58,15,1.67,5,3,9,"With the rapid growth of open source and other geographically distributed software projects, more interface design discussions are occurring online. Participation in such discussions typically occurs via issue management systems or similar interactive discussion forums …"
14,"JT Biehl, BP Bailey",Improving scalability and awareness in iconic interfaces for multiple-device environments,2006,Proceedings of the working conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1133265.1133283,"https://scholar.google.com/scholar?cites=6760850868334467487&as_sdt=2005&sciodt=0,5&hl=en",60,14,1,7,2,14,"Iconic interfaces offer a promising interaction metaphor for effectively managing applications in multi-device environments. However, current implementations scale poorly for even a modest number of applications and do not allow users to maintain adequate awareness of …"
14,"JT Biehl, BP Bailey",A toolset for creating iconic interfaces for interactive workspaces,2005,IFIP Conference on Human-Computer Interaction,Springer,https://link.springer.com/chapter/10.1007/11555261_56,"https://scholar.google.com/scholar?cites=2425793047902625547&as_sdt=2005&sciodt=0,5&hl=en",61,14,0.93,7,2,15,"To work productively in an interactive workspace, users need effective interfaces for seamlessly sharing, annotating, and juxtaposing digital information across heterogeneous devices. In this paper, we present an interface toolset for constructing and using iconic …"
13,"M Krause, T Garncarz, JJ Song, EM Gerber…",Critique style guide: Improving crowdsourced design feedback with a natural language model,2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3025453.3025883,"https://scholar.google.com/scholar?cites=10341140777139994646&as_sdt=2005&sciodt=0,5&hl=en",62,13,4.33,3,5,3,"Designers are increasingly leveraging online crowds; yet, online contributors may lack the expertise, context, and sensitivity to provide effective critique. Rubrics help feedback providers but require domain experts to write them and may not generalize across design …"
13,"YC Yen, SP Dow, E Gerber, BP Bailey","Social network, web forum, or task market? Comparing different crowd genres for design feedback exchange",2016,… of the 2016 ACM Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2901790.2901820,"https://scholar.google.com/scholar?cites=16027098861535701886&as_sdt=2005&sciodt=0,5&hl=en",63,13,3.25,3,4,4,"Increasingly, designers seek feedback on their designs from crowd platforms such as social networks, Web forums, and paid task markets which demand different amounts of social capital, financial resources, and time. Yet it is unknown how the choice of crowd platform …"
11,"PD Adamczyk, K Hamilton, MB Twidale…",Tools in support of creative collaboration,2007,Proceedings of the 6th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1254960.1255010,"https://scholar.google.com/scholar?cites=10697886114370261962&as_sdt=2005&sciodt=0,5&hl=en",64,11,0.85,3,4,13,"Creativity support tools are set an especially difficult task when they are applied to art/science collaboration. Not because of any fundamental incompatibility between the disciplines, but because creativity support tools are rarely supple enough to manage …"
10,"AD Abhyankar, G Luyue…","Stent implantation in severely angulated lesions: Safety, efficacy, and morphological remodelling",1997,Catheterization and …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/(SICI)1097-0304(199703)40:3%3C261::AID-CCD8%3E3.0.CO;2-8?casa_token=n0gWLb3LZsUAAAAA:9y3OKSrZG9RNLqbmCc8gw9VjZerpLHzZDZUWmM7YfcbashHyDWXPUPYmbQKxG7PjtJQRwXCdUoTA64Q2,"https://scholar.google.com/scholar?cites=9895822217410368977&as_sdt=2005&sciodt=0,5&hl=en",65,10,0.43,3,3,23,"Balloon angioplasty of severely angulated lesions is associated with a higher complication rate and lower success rate compared with non‐angulated lesions. Whether this is true also of stenting such lesions is not known, nor has the alteration of vessel morphology produced …"
10,"M Sharmin, BP Bailey",Making sense of communication associated with artifacts during early design activity,2011,IFIP Conference on Human-Computer Interaction,Springer,https://link.springer.com/chapter/10.1007/978-3-642-23774-4_17,"https://scholar.google.com/scholar?cites=9546298367823290497&as_sdt=2005&sciodt=0,5&hl=en",66,10,1.11,5,2,9,"Communication associated with artifacts serves a critical role in the creation, refinement, and selection of conceptual ideas. Despite the close relationship between ideas and surrounding communication, effective integration ofthese two types of design materials are …"
10,"PD Adamczyk, K Hamilton, MB Twidale…",Hci and new media arts: methodology and evaluation,2007,CHI'07 Extended …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1240866.1241084,"https://scholar.google.com/scholar?cites=10999482748708857194&as_sdt=2005&sciodt=0,5&hl=en",68,10,0.77,3,4,13,"ABSTRACT Successful collaborations between New Media Arts and HCI tend to develop hybrid techniques that promote balanced contributions from both disciplines. However, since many of these collaborations are one-off or highly dependent on the researchers/artists …"
9,"BP Bailey, JA Konstan",Authoring interactive media,2000,"… , New York, NY: John Wiley & Sons",orchid.cs.illinois.edu,http://orchid.cs.illinois.edu/publications/bailey-authoring-encyc-2001.pdf,"https://scholar.google.com/scholar?cites=11119972331617260132&as_sdt=2005&sciodt=0,5&hl=en",67,9,0.45,5,2,20,"Multimedia presentations utilize content derived from a variety of information sources in order to convey a message to a viewer. Examples of multimedia content include recorded and synthesized audio, video, still images, bitmap and vector graphics, animations, and text …"
9,"R Zilouchian Moghaddam, Z Nicholson…",Procid: Bridging consensus building theory with the practice of distributed design discussions,2015,Proceedings of the 18th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2675133.2675272,"https://scholar.google.com/scholar?cites=6442896793956434660&as_sdt=2005&sciodt=0,5&hl=en",70,9,1.8,3,3,5,"Consensus is a desired but elusive goal in many distributed discussions. A critical problem is that discussion platforms lack mechanisms for realizing consensus strategies and realizing these strategies without tool support can be hard. This paper introduces Procid, a …"
8,"R Deloatch, BP Bailey, A Kirlik, C Zilles",I need your encouragement! Requesting supportive comments on social media reduces test anxiety,2017,… of the 2017 CHI Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3025453.3025709,"https://scholar.google.com/scholar?cites=10450900241741268399&as_sdt=2005&sciodt=0,5&hl=en",69,8,2.67,2,4,3,Many students underperform on exams due to experiencing high test anxiety. We report on a study comparing a novel intervention of seeking support from one's social network to the more common approaches of expressive writing and studying task-relevant materials for …
8,"S Tettegah, BP Bailey, K Taylor",Clover: Narratives and simulations in virtual environments,2007,The Journal of Negro Education,JSTOR,https://www.jstor.org/stable/40026329?casa_token=_uC_m7nEIhIAAAAA:T4lyzP5JHApOYiJgNrOY9ybftsOu6Kl-LPfZ6l8zy_oSRYGTnQf9DSAiZ_eQ-xxZJ5W2uoWXDumGZGFVLvjrB52sc-oBUUOevV4ulumEF-FZZAfPUvLQ,"https://scholar.google.com/scholar?cites=8608156346070547497&as_sdt=2005&sciodt=0,5&hl=en",71,8,0.62,3,3,13,"This article presents a newly developed software application (Clover) for constructing animated narrative vignette. Results from a semester-long field study with 69 elementary pre-service teachers are reported, including, two complete examples of animated narrative …"
8,"SR Miller, BP Bailey",Searching for inspiration: An in-depth look at designers example finding practices,2014,ASME 2014 International …,asmedigitalcollection.asme.org,https://asmedigitalcollection.asme.org/IDETC-CIE/proceedings-abstract/IDETC-CIE2014/46407/V007T07A035/256890,"https://scholar.google.com/scholar?cites=3359108956165520562&as_sdt=2005&sciodt=0,5&hl=en",72,8,1.33,4,2,6,"Designers frequently use examples during the design process as a way to provide a visual framework, allow for reinterpretation and allow for evaluation of design ideas. Although the use of examples is an important part of the design process, little is known about how …"
6,"ST Iqbal, PD Adamczyk, XS Zheng, BP Bailey",Towards an index of opportunity: Understanding changes in mental workload during task execution,2004,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/10809,"https://scholar.google.com/scholar?cites=8873866626827899068&as_sdt=2005&sciodt=0,5&hl=en",73,6,0.38,2,4,16,"To contribute to systems that reason about human attention, our work empirically demonstrates how a user's mental workload changes during task execution. We conducted a study where users performed an interactive hierarchical task and measured mental …"
6,BP Bailey,"Iqbal. Shamsi T.(2007),“Understanding Changes in Mental Workload during Execution of Goal-directed Tasks and its Application for Interruption …",,ACM Transactions on Computer-Human Interaction,,,"https://scholar.google.com/scholar?cites=9029231866233274830&as_sdt=2005&sciodt=0,5&hl=en",74,6,0,6,1,,
6,"A Venkataswamy, R Sodhi, Y Abdildin…",Groupware for design: An interactive system to facilitate creative processes in team design work,2009,2009 42nd Hawaii …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4755349/,"https://scholar.google.com/scholar?cites=8068803047716193836&as_sdt=2005&sciodt=0,5&hl=en",75,6,0.55,2,4,11,Creativity as modeled using the recluse genius paradigm fails to recognize the necessity and value of the collaborative aspects involved. Enhancing the creative output of teams will become more and more necessary as the complexity of problems increases; this is …
6,"YW Wu, BP Bailey",Novices Who Focused or Experts Who Didn't?,2016,Proceedings of the 2016 CHI Conference on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2858036.2858330,"https://scholar.google.com/scholar?cites=5352280231737827246&as_sdt=2005&sciodt=0,5&hl=en",76,6,1.5,3,2,4,"Crowd feedback services offer a new method for acquiring feedback during design. A key problem is that the services only return the feedback without any cues about the people who provided it. In this paper, we investigate two cues of a feedback provider--the effort invested …"
6,"M Sharmin, BP Bailey",""" I reflect to improve my design"" investigating the role and process of reflection in creative design",2011,Proceedings of the 8th ACM conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2069618.2069710,"https://scholar.google.com/scholar?cites=8218731218366677687&as_sdt=2005&sciodt=0,5&hl=en",77,6,0.67,3,2,9,"Reflection is an integral part of the creative design process. However, reflection is often considered as an enigmatic, un-orderly, and irregular process, leading to a lack of support from existing design and creativity support tools. Through a contextual inquiry (N= 12) of …"
6,"A Safonov, JV Carlis, BP Bailey",Extending Traces with OAT: An Object Attribute Trace Package for Tcl/Tk.,1997,Tcl/Tk Workshop,usenix.org,https://www.usenix.org/publications/library/proceedings/tcl97/full_papers/safonov/safonov.pdf,"https://scholar.google.com/scholar?cites=13493572586877957833&as_sdt=2005&sciodt=0,5&hl=en",78,6,0.26,2,3,23,"Tcl supports variable traces, which associate arbitrary scripts with variable reads, writes and unsets. We developed OAT (Object Attribute Traces), a protocol for extending traces to attributes of arbitrary Tcl “objects.” We wrote several OAT-based extensions including …"
6,"BP Bailey, LJ Gurak, JA Konstan",Do you trust me? An examination of trust in computer-mediated exchange,2000,available at http:/www. isc. umn. edu …,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.202.4085&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=446616297420015040&as_sdt=2005&sciodt=0,5&hl=en",79,6,0.3,2,3,20,"Trust plays a critical role in our everyday lives from interpersonal communication to buyer-seller exchanges. Yet the concept of trust within the unique context of computer-mediated exchange (CME) has received little attention. To offer a theoretical contribution, we define …"
6,"GJ Martínez, BP Bailey…",A safe and easy technique to sample the coronary sinus—facilitating a closer look at cardiac disease,2014,International …,internationaljournalofcardiology.com,https://www.internationaljournalofcardiology.com/article/S0167-5273(14)01361-8/abstract,"https://scholar.google.com/scholar?cites=1652598883494587622&as_sdt=2005&sciodt=0,5&hl=en",85,6,1,2,3,6,"The measurement of cardiac specific biomarkers has greatly enhanced our understanding of the pathogenesis of cardiovascular disease, as well as guiding both response to therapy and prognosis [1]. Although systemic levels of these biomarkers are usually measured, they …"
6,"PA Crain, BP Bailey",Share Once or Share Often? Exploring How Designers Approach Iteration in a Large Online Community,2017,Proceedings of the 2017 ACM SIGCHI Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3059454.3059476,"https://scholar.google.com/scholar?cites=827568158503809260&as_sdt=2005&sciodt=0,5&hl=en",86,6,2,3,2,3,"Iteration prompted by feedback is fundamental to creative design. Designers often use online communities to gather feedback, but there is little knowledge of how designers use these communities to iterate on their work. We studied iterative design practice in three …"
5,"H Wauck, YC Yen, WT Fu, E Gerber, SP Dow…",From in the class or in the wild? Peers provide better design feedback than external crowds,2017,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3025453.3025477,"https://scholar.google.com/scholar?cites=17701944700042445643&as_sdt=2005&sciodt=0,5&hl=en",80,5,1.67,1,6,3,"As demand for design education increases, instructors are struggling to provide timely, personalized feedback for student projects. Gathering feedback from classroom peers and external crowds offer scalable approaches, but there is little evidence of how they compare …"
5,"M McGrady, P Thanyasiri, BP Bailey…",Determinants of coronary arterial flow‐mediated dilatation following percutaneous coronary intervention,2008,Catheterization and …,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1002/ccd.21375?casa_token=QV4I9uJur1MAAAAA:a-uE0zXoABmD6WXA7n-NsM5yRsaCCkKTrcspJSho43BkUljkcsM4gXQ4ndE3iTW_ma-LvSp1R6nRe2j5,"https://scholar.google.com/scholar?cites=5440026027012930516&as_sdt=2005&sciodt=0,5&hl=en",81,5,0.42,1,4,12,"Objective: It has previously been observed that coronary diameter may increase following relief of flow‐limiting obstruction. Flow mediated dilatation (FMD) is a fundamental adaptive mechanism for arteries, which is dependent on intact endothelial function. We thus aimed to …"
5,"D Benbassat, TR Underwood, BP Bailey…",Empirical and Perceived Utility of Text Boxes.,2008,College Student …,search.ebscohost.com,http://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=01463934&AN=34262684&h=y98tKS%2Bwn676s2QDxkESHRJRLk30tiL3vLQMm5EVgjUEsygTCfgJoGWsLrVrOqTk4OoaW3dCy%2F7KIOvh4EbEgA%3D%3D&crl=c,"https://scholar.google.com/scholar?cites=16851171642739152930&as_sdt=2005&sciodt=0,5&hl=en",82,5,0.42,1,4,12,"This paper presents 2 studies that investigated the utility of textbook boxes. In the first study, 230 participants completed a perception questionnaire. The major finding was that professors and students rarely studied boxed text. In the second study, 177 participants read …"
5,"EM Hastings, F Jahanbakhsh, K Karahalios…",Structure or nurture? the effects of team-building activities and team composition on team outcomes,2018,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3274337,"https://scholar.google.com/scholar?cites=11828862437860013739&as_sdt=2005&sciodt=0,5&hl=en",83,5,2.5,1,4,2,"How can instructors group students into teams that interact and learn effectively together? One strand of research advocates for grouping students into teams with"" good"" compositions such as skill diversity. Another strand argues for deploying team-building activities to foster …"
5,"BP Bailey, JA Konstan",Nsync-A Constraint Based Toolkit for Multimedia.,1997,Tcl/Tk Workshop,static.usenix.org,https://static.usenix.org/publications/library/proceedings/tcl97/full_papers/bailey/bailey.pdf,"https://scholar.google.com/scholar?cites=615168694946300249&as_sdt=2005&sciodt=0,5&hl=en",84,5,0.22,3,2,23,"Abstract Nsync (pronounced 'in-sync') is a declarative multimedia synchronization toolkit, implemented entirely in Tcl, designed to ease the complexity of designing innovative, interactive multimedia applications. Nsync does not represent a new multimedia …"
5,"R Deloatch, BP Bailey, A Kirlik",Measuring Effects of Modality on Perceived Test Anxiety for Computer Programming Exams,2016,Proceedings of the 47th ACM Technical …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2839509.2844604,"https://scholar.google.com/scholar?cites=15218909941484770366&as_sdt=2005&sciodt=0,5&hl=en",87,5,1.25,2,3,4,The modality students use to complete programming-centric exams is shifting from paper to computer. We developed and distributed a survey to investigate how exam modality affects student perceptions of test anxiety and performance during programming-centric exams. We …
4,"R Ilsar, BP Bailey, TA Dobbins…",The relationship between pulmonary artery and pulmonary capillary wedge pressure for the diagnosis of pulmonary vascular disease,2010,"Heart, Lung and Circulation",Elsevier,https://www.sciencedirect.com/science/article/pii/S144395060901004X,"https://scholar.google.com/scholar?cites=8365777718722523795&as_sdt=2005&sciodt=0,5&hl=en",88,4,0.4,1,4,10,"Background Left heart disease and pulmonary vascular disease (PVD) both lead to raised pulmonary artery pressure (PAP) but differ in pathophysiology, prognosis and treatment. There are currently no criteria for diagnosing PVD in the presence of left heart disease. We …"
4,"DJ Cook, HE Metcalf, BP Bailey",SCWID: A tool for supporting creative work in design,2005,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/11010,"https://scholar.google.com/scholar?cites=13733933587129890242&as_sdt=2005&sciodt=0,5&hl=en",89,4,0.27,1,3,15,"Computer tools offer enormous benefits for the early design process such as remote collaboration, advanced visualiza-tion, and the ability to run a design. However, current tools fail to support many elements of creative problem solving, inhibiting the early design …"
4,"YW Wu, BP Bailey",Bitter Sweet or Sweet Bitter? How Valence Order and Source Identity Influence Feedback Acceptance,2017,Proceedings of the 2017 ACM SIGCHI Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3059454.3059458,"https://scholar.google.com/scholar?cites=5207344715580037013&as_sdt=2005&sciodt=0,5&hl=en",93,4,1.33,2,2,3,"Content creators are less receptive to feedback with negative valence, and such feedback is frequently received online. To address this problem, we propose a novel method that orders a set of feedback based on its valence; using the feedback with positive valence to mitigate …"
3,"JT Biehl, BP Bailey","A scalable, portal-based interface for managing applications in interactive workspaces",2005,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/10995,"https://scholar.google.com/scholar?cites=3633030159218542703&as_sdt=2005&sciodt=0,5&hl=en",90,3,0.2,2,2,15,"Iconic interfaces have been used to enable users to visually manage applications in interactive workspaces. However, current implementations do not scale for larger numbers of applications and do not allow users to maintain adequate awareness of collaborator …"
3,"JT Biehl, BP Bailey",Interfaces for managing applications and input in multi-device environments,2006,Proceedings of the Workshop on pervasive …,researchgate.net,https://www.researchgate.net/profile/Jacob_Biehl/publication/228830317_Interfaces_for_managing_applications_and_input_in_multi-device_environments/links/09e41510307610b8a2000000.pdf,"https://scholar.google.com/scholar?cites=14834212895599603081&as_sdt=2005&sciodt=0,5&hl=en",91,3,0.21,2,2,14,"A multiple-device environment (MDE) is a physical workspace in which independent devices are networked through a software infrastructure [6, 11]. In an MDE, users should be able to create, exchange, and organize digital artifacts (documents, photos, Web pages, etc.) across …"
3,"BP Bailey, ST Iqbal",Leveraging changes in mental workload during task execution to mitigate effects of interruption,2005,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/11088,"https://scholar.google.com/scholar?cites=7431001995994003184&as_sdt=2005&sciodt=0,5&hl=en",92,3,0.2,2,2,15,"Task interruption often has a significant negative impact on a user's productivity and affective state. Cognitive theorists have argued that interrupting the execution of primary tasks at moments of lower mental workload would mitigate effects of interruption, yet knowing just …"
3,"SR Krishna Kumaran, DC McDonagh…",Increasing Quality and Involvement in Online Peer Feedback Exchange,2017,Proceedings of the ACM …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3134698,"https://scholar.google.com/scholar?cites=6511390910999364418&as_sdt=2005&sciodt=0,5&hl=en",103,3,1,1,3,3,"Design instructors are integrating the use of online peer review platforms to keep pace with growing class sizes. However, these platforms typically prioritize randomized peer assignment strategies and show only the current solution to peers when writing feedback …"
2,"PD Adamczyk, CW Busbey, BP Bailey",TAPRAV: A Tool for Exploring Physiological Data Aligned to Task Models,2005,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/11016,"https://scholar.google.com/scholar?cites=949247356571433236&as_sdt=2005&sciodt=0,5&hl=en",94,2,0.13,1,3,15,"The use of continuous, physiological measures such as pupil size is becoming increasingly important in user interface design, attention management, and affective computing. While this data is best explored in context of ongoing task execution, existing information …"
2,"I Wilcox, PJ Fletcher, BP Bailey",Colour‐coded imaging of cardiac blood flow,1988,Medical Journal of Australia,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.5694/j.1326-5377.1988.tb117837.x,"https://scholar.google.com/scholar?cites=4332722720559784996&as_sdt=2005&sciodt=0,5&hl=en",95,2,0.06,1,3,32,"Cardiac ultrasound, from its inception in the 19505 and its later development in the 196Os, progressively has provided increasingly detailed and useful information about cardiac structure and function, which culminated in the development of twodimensional real-time …"
2,"ST Iqbal, PD Adamczyk, XS Zheng…",Changes in mental workload during task execution,2004,Proceedings of the 17th …,academia.edu,http://www.academia.edu/download/45854639/p8-iqbal.pdf,"https://scholar.google.com/scholar?cites=12180147451650123744&as_sdt=2005&sciodt=0,5&hl=en",96,2,0.13,1,4,16,"To contribute to systems that reason about human attention, our work empirically demonstrates how a user's mental workload changes during task execution. We conducted a study where users performed an interactive hierarchical task and measured mental …"
2,"M Pietrowicz, D Chopra, A Sadeghi, P Chandra…",CrowdBand: An Automated Crowdsourcing Sound Composition System,2013,First AAAI Conference …,aaai.org,https://www.aaai.org/ocs/index.php/HCOMP/HCOMP13/paper/view/7514,"https://scholar.google.com/scholar?cites=5683497120664779243&as_sdt=2005&sciodt=0,5&hl=en",97,2,0.29,0,5,7,"CrowdBand, a sound composition system, demonstrates how a crowd can create works that meet requested criteria and fulfill the aesthetic character given by keyword description and examples. CrowdBand allows flexibility in music composition in terms of duration of the …"
2,"M Peryer, BP Bailey",A path out of the verification wilderness,2004,IEE Electronics Systems and Software,experts.illinois.edu,https://experts.illinois.edu/en/publications/a-path-out-of-the-verification-wilderness,"https://scholar.google.com/scholar?cites=6535720286340087583&as_sdt=2005&sciodt=0,5&hl=en",98,2,0.13,1,2,16,Functional verification enables to put together large and complex designs in short space of time which is focus of Electronic Design Automation (EDA) software industry. The black-box verification use only primary inputs and outputs of module which are used to determine …
2,"BP Bailey, JA Konstan, JV Carlis",DEMAIS,2001,Proceedings of the ninth ACM international …,,,"https://scholar.google.com/scholar?cites=14015076301278721800&as_sdt=2005&sciodt=0,5&hl=en",99,2,0.11,1,3,19,
2,"M Sharmin, BP Bailey",Online design discussion sites: emerging resource for creative design,2011,… Conference on Online Communities and Social …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-21796-8_24,"https://scholar.google.com/scholar?cites=8900319709126940504&as_sdt=2005&sciodt=0,5&hl=en",100,2,0.22,1,2,9,"Online design discussion sites are a popular networking platform drawing thousands of designers from all around the globe. These sites show promise as emerging design resource by enabling designers to learn about design techniques and tools, share ideas and …"
2,"BP Bailey, JA Konstan","John, and John V. Carlis. 2001. Supporting Multimedia Designers: Towards More Effective Design Tools",,In Proc. Multimedia Modeling: Modeling Mutlimedia …,,,"https://scholar.google.com/scholar?cites=14212433160513503653&as_sdt=2005&sciodt=0,5&hl=en",101,2,0,1,2,,
2,BP Bailey,Computer Science 498bpb,1998,Psychology of HCI http://www-faculty. cs. uiuc. edu …,,,"https://scholar.google.com/scholar?cites=17774544492601508444&as_sdt=2005&sciodt=0,5&hl=en",102,2,0.09,2,1,22,
2,"YW Wu, BP Bailey","Soften the Pain, Increase the Gain: Enhancing Users' Resilience to Negative Valence Feedback",2018,Proceedings of the ACM on Human-Computer …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3274455,"https://scholar.google.com/scholar?cites=3077262811530285339&as_sdt=2005&sciodt=0,5&hl=en",104,2,1,1,2,2,Content creators fear receiving unnecessarily harsh criticism when posting creative work in online platforms. We refer to feedback written in an unnecessary harsh tone as negative feedback. We conducted an online experiment to investigate the efficacy of three coping …
2,"M Vakilian, N Chen, S Negara, BA Rajkumar, BP Bailey…","Use, Disuse, and Misuse of Automated Refactorings (Extended Version)",2011,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/27730,"https://scholar.google.com/scholar?cites=9074770193702428215&as_sdt=2005&sciodt=0,5&hl=en",105,2,0.22,0,6,9,"Though refactoring tools have been available for more than a decade, research has shown that programmers underutilize such tools. However, little is known about why programmers do not take advantage of these tools. We have conducted a field study on programmers in …"
1,"BP Bailey, N Sebe, A Hanjalic",Special section from the ACM Multimedia Conference 2007,2008,ACM Transactions on Multimedia …,dl.acm.org,https://dl.acm.org/doi/pdf/10.1145/1404880.1404881,"https://scholar.google.com/scholar?cites=237493451731786464&as_sdt=2005&sciodt=0,5&hl=en",106,1,0.08,0,3,12,This special section features extended and further reviewed versions of three best paper nominees (including the overall winner) from the ACM Multimedia Conference 2007. These articles therefore represent some of the more promising and influential research currently …
1,"DJ Cook, BP Bailey",Understanding Designers' Use of Paper in Early Design and its Implication for Informal Tools,2004,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/10921,"https://scholar.google.com/scholar?cites=5315731151957147767&as_sdt=2005&sciodt=0,5&hl=en",107,1,0.06,1,2,16,"While informal tools can benefit early design, their use requires that a designer give up the richer affordances of physical tools such as paper. To better understand the importance of physical tools for early design, we conducted contextual interviews with twelve designers …"
1,"BP Bailey, CW Busbey",TAPRAV: a tool for exploring workload aligned to models of task execution,2006,Proceedings of the working conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1133265.1133360,"https://scholar.google.com/scholar?cites=13261184457557771919&as_sdt=2005&sciodt=0,5&hl=en",108,1,0.07,1,2,14,"Existing analysis tools are not sufficient for exploring pupillary response, as the data typically needs to be explored in relation to the corresponding task's execution. To address this need, we have developed an interactive visualization tool called TAPRAV. Key components …"
1,"JT Biehl, BP Bailey",Improving Interfaces for Collaborative Work in Multiple-Device Environments,2005,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/11120,"https://scholar.google.com/scholar?cites=16741353847136185401&as_sdt=2005&sciodt=0,5&hl=en",109,1,0.07,1,2,15,"Productive collaboration in a Multiple-Device Environment (MDE) requires an effective interface to efficiently manage applications among devices. Though many interfaces exist, there is little empirical understanding of how they affect collaboration. This paper reports …"
1,"YW Wu, BP Bailey",Novices Who Focused or Experts Who Didn't? How Effort and Expertise Cues Affect Judgments of Crowd Work In,,Proceedings of the ACM Conference on …,pdfs.semanticscholar.org,https://pdfs.semanticscholar.org/afe6/330eca6978298e10f85b339e35af861a0317.pdf,"https://scholar.google.com/scholar?cites=3934684994978380927&as_sdt=2005&sciodt=0,5&hl=en",110,1,0,1,2,,"Page 1. NOVICES WHO FOCUSED OR EXPERTS WHO DIDN'T? HOW EFFORT AND EXPERTISE CUES AFFECT JUDGEMENT OF CROWD WORK Y. Wayne Wu, Brian Bailey University of Illinois at Urbana-Champaign Page 2. Using Online Crowds for Feedback Generation ▷ Empowerment ▷ …"
