Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
15,"B Chee, KG Karahalios, B Schatz",Social visualization of health messages,2009,2009 42nd Hawaii …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/4755501/,"https://scholar.google.com/scholar?cites=1803515236117334518&as_sdt=2005&sciodt=0,5&hl=en",57,15,1.36,5,3,11,"Seeking health-related information on the Internet is becoming commonplace. Patients use the Internet to learn about their conditions and medications, and to discuss symptoms and concerns with other patients on chat forums. Physicians also browse these chat sites to …"
15,"T Siddiqui, J Lee, A Kim, E Xue, X Yu, S Zou, L Guo…",Fast-Forwarding to Desired Visualizations with Zenvisage.,2017,CIDR,cidrdb.org,http://cidrdb.org/cidr2017/papers/p43-siddiqui-cidr17.pdf,"https://scholar.google.com/scholar?cites=2941502489825765275&as_sdt=2005&sciodt=0,5&hl=en",58,15,5,2,8,3,"Data exploration and analysis, especially for non-programmers, remains a tedious and frustrating process of trial-and-error—data scientists spend many hours poring through visualizations in the hope of finding those that match desired patterns. We demonstrate …"
14,"HK Kong, Z Liu, K Karahalios",Frames and slants in titles of visualizations on controversial topics,2018,Proceedings of the 2018 CHI Conference …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3173574.3174012,"https://scholar.google.com/scholar?cites=17669810642287191898&as_sdt=2005&sciodt=0,5&hl=en",60,14,7,5,3,2,"Slanted framing in news article titles induce bias and influence recall. While recent studies found that viewers focus extensively on titles when reading visualizations, the impact of titles in visualization remains underexplored. We study frames in visualization titles, and how the …"
14,"T Bergstrom, K Karahalios",Vote and be heard: Adding back-channel signals to social mirrors,2009,IFIP Conference on Human-Computer …,Springer,https://link.springer.com/chapter/10.1007/978-3-642-03655-2_61,"https://scholar.google.com/scholar?cites=8048821289703624847&as_sdt=2005&sciodt=0,5&hl=en",63,14,1.27,7,2,11,"In face-to-face group situations, social pressure and organizational hierarchy relegate the less outspoken to silence, often resulting in fewer voices, fewer ideas, and groupthink. However, in mediated interaction like email, more people join in the discussion to offer their …"
13,"H Mobahi, KG Karahalios",HCI applications for aiding children with mental disorders,2005,"XRDS: Crossroads, The ACM Magazine for …",dl.acm.org,https://dl.acm.org/doi/pdf/10.1145/1144375.1144378,"https://scholar.google.com/scholar?cites=1519803409803223842&as_sdt=2005&sciodt=0,5&hl=en",59,13,0.87,7,2,15,This work is a part of an ongoing project that focuses on potential applications of HCI in aiding children with mental disorders. In this work we look at autism and bipolar disorder in particular. We believe HCI is promising here because it provides the possibility of capturing …
13,"E Gilbert, K Karahalios",Lifesource: two cvs visualizations,2006,CHI'06 Extended Abstracts on Human Factors …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1125451.1125608,"https://scholar.google.com/scholar?cites=4797232639185046895&as_sdt=2005&sciodt=0,5&hl=en",61,13,0.93,7,2,14,"We present LifeSource, two visualizations of CVS code repositories, one file-centric and one author-centric. CodeConnections, the file-centric visualization, pulls out the overall structure of a large body of interacting code and authors. CodeConnections scales well and reveals …"
13,"C Sandvig, K Hamilton…",Can an algorithm be unethical,2015,… annual meeting of …,www-personal.umich.edu,http://www-personal.umich.edu/~csandvig/research/ICA2015--CananAlgorithmbeUnethical.pdf,"https://scholar.google.com/scholar?cites=4504750937279725704&as_sdt=2005&sciodt=0,5&hl=en",62,13,2.6,4,3,5,"Abstract In Information and Communication Technologies (ICTs), computer algorithms now control the display of content across a wide range of industries and applications, from search results to social media (Gillespie, 2013). Abuses of power by Internet platforms have led to …"
13,"J Hailpern, K Karahalios, J Halle, L DeThorne…","Visualizations: speech, language & autistic spectrum disorder",2008,CHI'08 Extended …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1358628.1358896,"https://scholar.google.com/scholar?cites=2797791142975576661&as_sdt=2005&sciodt=0,5&hl=en",64,13,1.08,3,5,12,"Without speech, we can have great difficulty communicating wants, emotions, needs, and interacting with society at large. During typical child development, an infant acquires language skills without explicit teaching. However, some children, including those with …"
13,"R Kravets, H Alkaff, A Campbell, K Karahalios…",CrowdWatch: enabling in-network crowd-sourcing,2013,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2491266.2491277,"https://scholar.google.com/scholar?cites=4227402133504246116&as_sdt=2005&sciodt=0,5&hl=en",65,13,1.86,3,5,7,"Proliferation of mobile smartphones has opened up possibilities of using crowd-sourcing to gather data from and so monitor large crowds. However, depending on the size of the crowd, current solutions either put unpredictable stress on the infrastructure and energy …"
12,"K Nahrstedt, RH Campbell, I Gupta, KG Karahalios…",Mobile Learning Communities-Are We There Yet?,2010,,ideals.illinois.edu,http://www.ideals.illinois.edu/handle/2142/17402,"https://scholar.google.com/scholar?cites=15447336782559722847&as_sdt=2005&sciodt=0,5&hl=en",66,12,1.2,2,5,10,"Advances in wireless technologies have allowed users to communicate ubiquitously anywhere and anytime and made it possible for users to access and exchange information through wireless hand-held devices such as cell-phones, tablets and laptops. Especially, if …"
11,"C Sandvig, K Hamilton, K Karahalios, C Langbort",Auditing algorithms: research methods for detecting discrimination on internet platforms. Data and discrimination: converting critical concerns into …,2014,pdfs. semanticscholar. org/b722 …,,,"https://scholar.google.com/scholar?cites=6621341382779265107&as_sdt=2005&sciodt=0,5&hl=en",68,11,1.83,3,4,6,
11,"J Hailpern, K Karahalios, J Halle, L DeThorne…",A3: A coding guideline for hci+ autism research using video annotation,2008,Proceedings of the 10th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1414471.1414476,"https://scholar.google.com/scholar?cites=901339697916415782&as_sdt=2005&sciodt=0,5&hl=en",69,11,0.92,2,5,12,"Due to the profile of strengths and weaknesses indicative of autism spectrum disorders (ASD), technology may play a key role in ameliorating communication difficulties with this population. This paper documents coding guidelines established through cross-disciplinary …"
11,"J Kim, M Snodgrass, M Pietrowicz, K Karahalios…",BEDA: Visual analytics for behavioral and physiological data,2013,Workshop on Visual …,Citeseer,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.648.9986&rep=rep1&type=pdf,"https://scholar.google.com/scholar?cites=8123723119030213286&as_sdt=2005&sciodt=0,5&hl=en",70,11,1.57,2,5,7,"We present BEDA, a tool to help researchers synchronize, visualize, and analyze data sources for single or multiple sessions of behavioral and physiological data. We developed this tool to assist in a study exploring the efficacy of sensory integration (SI) therapy in a …"
11,"K Vaccaro, K Karahalios, C Sandvig, K Hamilton…",Agree or cancel? research and terms of service compliance,2015,… Systems in a Big Data World,,,"https://scholar.google.com/scholar?cites=236301163943140577&as_sdt=2005&sciodt=0,5&hl=en",71,11,2.2,2,5,5,
11,"J Kulshrestha, M Eslami, J Messias, MB Zafar…",Search bias quantification: investigating political bias in social media and web search,2019,Information Retrieval …,Springer,https://link.springer.com/article/10.1007/s10791-018-9341-2,"https://scholar.google.com/scholar?cites=9423659683799378212&as_sdt=2005&sciodt=0,5&hl=en",84,11,11,2,5,1,Users frequently use search systems on the Web as well as online social media to learn about ongoing events and public opinion on personalities. Prior studies have shown that the top-ranked results returned by these search engines can shape user opinion about the topic …
11,"JG Kim, K Vaccaro, K Karahalios, H Hong",""" Not by Money Alone"" Social Support Opportunities in Medical Crowdfunding Campaigns",2017,Proceedings of the 2017 …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2998181.2998245,"https://scholar.google.com/scholar?cites=16811471459161608710&as_sdt=2005&sciodt=0,5&hl=en",88,11,3.67,3,4,3,"Medical crowdfunding helps patients receive financial support from their distributed social networks online. However, little is known about who the patient's supporters are, what support they provide, and why. To address this, we interviewed fifteen people involved in …"
10,"SW Huang, D Tunkelang, K Karahalios",The role of network distance in linkedin people search,2014,Proceedings of the 37th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2600428.2609461,"https://scholar.google.com/scholar?cites=11030361009538868843&as_sdt=2005&sciodt=0,5&hl=en",73,10,1.67,3,3,6,"LinkedIn is the world's largest professional network, with over 300 million members. One of the primary activities on the site is people search, for which LinkedIn members are both the users and the corpus. This paper presents insights about people search behavior on …"
10,"MA Betancourt, LS Dethorne, K Karahalios…",Skin Conductance as an In Situ Marker for Emotional Arousal in Children with Neurodevelopmental Communication Impairments: Methodological Considerations and …,2017,ACM Transactions on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3035536,"https://scholar.google.com/scholar?cites=13466053788990917854&as_sdt=2005&sciodt=0,5&hl=en",79,10,3.33,3,4,3,"Even though electrodermal activity has been widely used in the study of psychological states and processes for over 130 years, the use of such technology in situ, within the context of daily activities, remains a major challenge. Recent technological advancements have led to …"
9,"A Bruckman, K Karahalios, RE Kraut…",Revisiting research ethics in the facebook era: Challenges in emerging CSCW research,2010,… Proceedings of the …,yardi.people.si.umich.edu,http://yardi.people.si.umich.edu/pubs/Yardi_ResearchEthics10.pdf,"https://scholar.google.com/scholar?cites=724122251936183982&as_sdt=2005&sciodt=0,5&hl=en",72,9,0.9,2,4,10,"New research paradigms in CSCW come with unforeseen ethical challenges. In particular, online social research tests the boundaries of public observation, third-party disclosure, and anonymization methods. Furthermore, there are differences in norms about what is and is …"
9,"P Mathur, K Karahalios",Using bookmark visualizations for self-reflection and navigation,2009,CHI'09 Extended Abstracts on Human Factors …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1520340.1520716,"https://scholar.google.com/scholar?cites=4803932983582188583&as_sdt=2005&sciodt=0,5&hl=en",74,9,0.82,5,2,11,"Web users have been employing numerous methods for recalling websites. Bookmarks have been around for some time, but the usefulness of such a system has been under question. The lack of intuitive organization in web browsers forces users to make arbitrary …"
9,"L DeThorne, MA Betancourt, K Karahalios…",Visualizing syllables: Real-time computerized feedback within a speech–language intervention,2015,Journal of autism and …,Springer,https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10803-014-2274-8&casa_token=sTji49iv2csAAAAA:UMQjj6Q9Qkf699hm9em9FJiwOtSgcF5tCjmAMdntsQylIpY02Uw0Z54vmhJTGqt2q0-mW0nz5crdKHlRDg,"https://scholar.google.com/scholar?cites=12751184033799880700&as_sdt=2005&sciodt=0,5&hl=en",75,9,1.8,2,4,5,Computerized technologies now offer unprecedented opportunities to provide real-time visual feedback to facilitate children's speech–language development. We employed a mixed-method design to examine the effectiveness of two speech–language interventions …
9,"M Eslami, A Aleyasen…",Evaluation of automated friend grouping in online social networks,2014,CHI'14 Extended …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2559206.2581322,"https://scholar.google.com/scholar?cites=9784779902409729555&as_sdt=2005&sciodt=0,5&hl=en",77,9,1.5,3,3,6,"Managing friendship relationships is challenging due to the growing number of people in online social networks (OSNs). While grouping friends sometimes mitigates this challenge, the burden of manual grouping still prevents OSNs users to create groups widely for privacy …"
9,"C Sandvig, K Hamilton, K Karahalios, C Langbort",Re-centering algorithms,2013,Governing Algorithms: A …,,,"https://scholar.google.com/scholar?cites=17089248326710979597&as_sdt=2005&sciodt=0,5&hl=en",80,9,1.29,2,4,7,
9,"J Hailpern, K Karahalios, L DeThorne…",Talking points: the differential impact of real-time computer generated audio/visual feedback on speech-like & non-speech-like vocalizations in low functioning …,2009,Proceedings of the 11th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1639642.1639675,"https://scholar.google.com/scholar?cites=4782813671484300578&as_sdt=2005&sciodt=0,5&hl=en",83,9,0.82,2,4,11,Real-time computer feedback systems (CFS) have been shown to impact the communication of neurologically typical individuals. Promising new research appears to suggest the same for the vocalization of low functioning children with Autistic Spectrum Disorder (ASD). The …
8,"AP Lambert, SM Bezek, KG Karahalios",Waterhouse: enabling secure e-mail with social networking,2009,CHI'09 Extended Abstracts on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1520340.1520624,"https://scholar.google.com/scholar?cites=13081427212020381450&as_sdt=2005&sciodt=0,5&hl=en",76,8,0.73,3,3,11,"We present Waterhouse, a system for sending and receiving cryptographically protected electronic mail ("" secure e-mail""). We show how an existing e-mail interface can be modified to make exchanging secure e-mail nearly effortless. Our system integrates with social …"
8,"P Mathur, K Karahalios",Visualizing remote voice conversations,2009,CHI'09 Extended Abstracts on Human Factors …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1520340.1520719,"https://scholar.google.com/scholar?cites=6199246887918563911&as_sdt=2005&sciodt=0,5&hl=en",78,8,0.73,4,2,11,"Online voice conversations are becoming ever more popular. People have been logging online text conversations, but what about voice conversations? Walter Ong simply states,"" written words are residue. Oral tradition has no such residue or deposit""[6]. However, we do …"
8,"J Hailpern, N Jitkoff, J Subida…",The clotho project: predicting application utility,2010,Proceedings of the 8th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1858171.1858230,"https://scholar.google.com/scholar?cites=8768883565062136166&as_sdt=2005&sciodt=0,5&hl=en",81,8,0.8,2,4,10,"When using the computer, each user has some notion that"" these applications are important"" at a given point in time. We term this subset of applications that the user values as high-utility applications. Identifying high-utility applications is a critical first step for Task Analysis, Time …"
8,"K Mack, J Lee, K Chang, K Karahalios…",Characterizing scalability issues in spreadsheet software using online forums,2018,Extended Abstracts of …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3170427.3174359,"https://scholar.google.com/scholar?cites=4937226142331718321&as_sdt=2005&sciodt=0,5&hl=en",82,8,4,2,5,2,"In traditional usability studies, researchers talk to users of tools to understand their needs and challenges. Insights gained via such interviews offer context, detail, and background. Due to costs in time and money, we are beginning to see a new form of tool interrogation …"
8,"K Hamilton, K Karahalios, C Sandvig, C Langbort",The image of the algorithmic city: a research approach.,2014,IxD&A,kevinhamilton.org,http://www.kevinhamilton.org/articles/image_city.pdf,"https://scholar.google.com/scholar?cites=15790159982842002445&as_sdt=2005&sciodt=0,5&hl=en",85,8,1.33,2,4,6,Design for civic participation in the “smart” city requires examination of the algorithms by which computational processes organize and present geospatial information to inhabitants. How does awareness of these algorithms positively or negatively affect use? A renewed …
8,"M Eslami, K Vaccaro, MK Lee…",User Attitudes towards Algorithmic Opacity and Transparency in Online Reviewing Platforms,2019,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3290605.3300724,"https://scholar.google.com/scholar?cites=9590228119673455669&as_sdt=2005&sciodt=0,5&hl=en",113,8,8,2,4,1,"Algorithms exert great power in curating online information, yet are often opaque in their operation, and even existence. Since opaque algorithms sometimes make biased or deceptive decisions, many have called for increased transparency. However, little is known …"
7,"MA DeVito, JT Hancock, M French, J Birnholtz…",The algorithm and the user: How can hci use lay understandings of algorithmic systems?,2018,Extended Abstracts of …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3170427.3186320,"https://scholar.google.com/scholar?cites=12643690474394851727&as_sdt=2005&sciodt=0,5&hl=en",86,7,3.5,1,5,2,"In studying the increasing role that opaque, algorithmically-driven systems, such as social media feeds, play in society and people's everyday lives, user folk theories are emerging as one powerful lens with which to examine the relationship between user and algorithmic …"
7,"T Bergstrom, K Karahalios",Communicating more than nothing,2006,CHI'06 Extended Abstracts on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1125451.1125565,"https://scholar.google.com/scholar?cites=658789844018329787&as_sdt=2005&sciodt=0,5&hl=en",87,7,0.5,4,2,14,"Strong social connections permeate one's daily life. With the numerous means available, these connections can easily dominate one's communications, though one only wants to convey and have a sense of presence in each other's lives. Portal Frame fosters this feeling …"
7,"T Bergstrom, K Karahalios",Visualizing co-located conversation feedback,2007,IEEE TableTop,researchgate.net,https://www.researchgate.net/profile/Tony_Bergstrom/publication/252330045_Visualizing_Co-located_Conversation_Feedback/links/553fdaa40cf2320416ece86e/Visualizing-Co-located-Conversation-Feedback.pdf,"https://scholar.google.com/scholar?cites=7642318359875749959&as_sdt=2005&sciodt=0,5&hl=en",89,7,0.54,4,2,13,"In this work we describe the iterative design process in the evolution of Conversation Votes, an augmented tabletop visualization that creates new backchannels in collocated interaction. This work presents a reflection of interaction with direct user feedback in the form …"
7,"T Bergstrom, K Karahalios",Conversation clusters: human-computer dialog for topic extraction,2008,CHI'08 Extended Abstracts on Human …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1358628.1358769,"https://scholar.google.com/scholar?cites=8932245886117532308&as_sdt=2005&sciodt=0,5&hl=en",90,7,0.58,4,2,12,"In this paper, we look at projects leveraging human knowledge and understanding in computer systems for extracting conversational topics. Tasks like speech recognition are difficult for computers, but simple for people engaged in conversation. This task is a …"
6,"HK Kong, Z Liu, K Karahalios",Internal and external visual cue preferences for visualizations in presentations,2017,Computer Graphics Forum,Wiley Online Library,https://onlinelibrary.wiley.com/doi/abs/10.1111/cgf.13207?casa_token=Zvs7vcI9fvUAAAAA:lVCdfEwC-gmgwT7pB3JOjfqxt0mb1r4isoKBi97YBiX2Ulw3wWcorldb3YjNIUM3UkZKzYwiEaii7mMf,"https://scholar.google.com/scholar?cites=7341680415038526345&as_sdt=2005&sciodt=0,5&hl=en",91,6,2,2,3,3,"Presenters, such as analysts briefing to an executive committee, often use visualizations to convey information. In these cases, providing clear visual guidance is important to communicate key concepts without confusion. This paper explores visual cues that guide …"
6,"M Ananny, K Karahalios, C Sandvig, C Wilson",Auditing algorithms from the outside: Methods and implications,2015,Retrieved November,,,"https://scholar.google.com/scholar?cites=4709330046009834158&as_sdt=2005&sciodt=0,5&hl=en",92,6,1.2,2,4,5,
6,"G Eric, K Karrie",Widespread worry and the stock market,2010,Proceedings of the International Conference on …,,,"https://scholar.google.com/scholar?cites=17021333901517223146&as_sdt=2005&sciodt=0,5&hl=en",96,6,0.6,3,2,10,
6,"E Gilbert, K Karahalios",Computing and building around tie strength in social media,2014,Foundations and Trends® in Human …,nowpublishers.com,http://www.nowpublishers.com/article/Details/HCI-044,"https://scholar.google.com/scholar?cites=2744439624146894251&as_sdt=2005&sciodt=0,5&hl=en",104,6,1,3,2,6,"Relationships make social media social. But, not all relationships are created equal. We have colleagues with whom we correspond intensely, but not deeply; we have childhood friends we consider close, even if we fell out of touch. Social media, however, treats …"
5,KG Karahalios,Social Catalysts for Creating Sociable Media Spaces,2009,Media Space 20+ Years of Mediated Life,Springer,https://link.springer.com/content/pdf/10.1007/978-1-84882-483-6_6.pdf,"https://scholar.google.com/scholar?cites=10750018608558274938&as_sdt=2005&sciodt=0,5&hl=en",93,5,0.45,5,1,11,Mediated communication between public spaces is a relatively new concept. One current example of this interaction is video conferencing among people within the same organization. Large-scale video conferencing walls have begun to appear in public or …
5,"EM Hastings, F Jahanbakhsh, K Karahalios…",Structure or nurture? the effects of team-building activities and team composition on team outcomes,2018,Proceedings of the …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3274337,"https://scholar.google.com/scholar?cites=11828862437860013739&as_sdt=2005&sciodt=0,5&hl=en",94,5,2.5,1,4,2,"How can instructors group students into teams that interact and learn effectively together? One strand of research advocates for grouping students into teams with"" good"" compositions such as skill diversity. Another strand argues for deploying team-building activities to foster …"
5,"J Hailpern, M Danilevsky, K Karahalios",Walking in another's shoes: aphasia emulation software,2010,Proceedings of the 12th …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/1878803.1878880,"https://scholar.google.com/scholar?cites=5158559428682162709&as_sdt=2005&sciodt=0,5&hl=en",95,5,0.5,2,3,10,"The impact of living in a world that does not understand your impairment can be frustrating and a daunting task. Consider how an individual would feel if their family, friends, or doctors did not understand or were not even empathetic to daily struggles brought on by an acquired …"
5,"JG Kim, S Park, K Karahalios, M Twidale",Labor saving and labor making of value in online congratulatory messages,2015,International Conference on …,Springer,https://link.springer.com/chapter/10.1007/978-3-319-27433-1_17,"https://scholar.google.com/scholar?cites=7336273761542501&as_sdt=2005&sciodt=0,5&hl=en",97,5,1,1,4,5,"Social reminder interfaces on social networking sites (SNSs), such as the Facebook birthday reminder, make sending a congratulatory message easier than ever. However, the lower cost in time and effort can also devalue a simple message, and one-click congratulations …"
5,"L Haynes, A Selcukoglu, S Suh…",Tagscape: navigating the tag landscape,2007,IFIP Conference on Human …,Springer,https://link.springer.com/chapter/10.1007/978-3-540-74800-7_21,"https://scholar.google.com/scholar?cites=12903115475804850171&as_sdt=2005&sciodt=0,5&hl=en",98,5,0.38,1,4,13,"Recent years have seen an explosion in online collaborative tagging, the most prevalent visualization of which are tag clouds. Despite their popularity, tag clouds suffer from limitations of separation from tagged items, lack of relational information between tags and a …"
5,"J Lee, S Lin, K Karahalios",Visualizing patterns of social and communicative behavior in children using plexlines,2013,Proceedings of the 2013 Workshop on …,johnwklee.com,http://johnwklee.com/papers/Plexlines_VAHC2013.pdf,"https://scholar.google.com/scholar?cites=8876996645926193789&as_sdt=2005&sciodt=0,5&hl=en",99,5,0.71,2,3,7,"We present a system to visualize the annotations of videos of children engaged in a 3–5 minute interactive protocol that assesses communicative behavior, the Rapid ABC. Rapid ABC session videos are annotated to capture the child's gestures, gaze, and vocalization …"
5,"M Eslamimehdiabadi, A Rickman, K Vaccaro…",""" I always assumed that I wasn't really that close to [her]"": Reasoning about invisible algorithms in the news feed",2014,,ideals.illinois.edu,https://www.ideals.illinois.edu/handle/2142/55298,"https://scholar.google.com/scholar?cites=13320089371428545953&as_sdt=2005&sciodt=0,5&hl=en",100,5,0.83,1,4,6,"Our daily digital life is full of algorithmically selected contentsuch as social media feeds, recommendations and personal-ized search results. These algorithms have great power toshape users' experiences yet users are often unaware of theirpresence. Whether it is …"
5,"M Pietrowicz, K Karahalios",Sonic shapes: Visualizing vocal expression,2013,,smartech.gatech.edu,https://smartech.gatech.edu/handle/1853/51661,"https://scholar.google.com/scholar?cites=11544199594113725001&as_sdt=2005&sciodt=0,5&hl=en",101,5,0.71,3,2,7,"Sound has been an overlooked modality in visualization. Why? Because it is ephemeral. We experience it as it happens, often in community with others. Then, the sound is gone. Furthermore, sound in human communication is multidimensional and includes the semantic …"
5,"DJL Lee, J Lee, T Siddiqui, J Kim, K Karahalios…",Accelerating scientific data exploration via visual query systems,2017,arXiv preprint arXiv …,,,"https://scholar.google.com/scholar?cites=15629482871700610300&as_sdt=2005&sciodt=0,5&hl=en",102,5,1.67,1,6,3,
4,"J Rozier, K Karahalios, J Donath",Hear&There: An Augmented Reality System of Linked Audio'Online Proceedings of the International Conference on Auditory Display,2000,Available at http/Iww~ wicad org/vvebsiteV2. 0 …,,,"https://scholar.google.com/scholar?cites=1731089819976209069&as_sdt=2005&sciodt=0,5&hl=en",103,4,0.2,1,3,20,
4,K Karahalios,Salient movies,1995,,dspace.mit.edu,https://dspace.mit.edu/bitstream/handle/1721.1/37554/34607773-MIT.pdf?sequence=2,"https://scholar.google.com/scholar?cites=11114659743964715528&as_sdt=2005&sciodt=0,5&hl=en",105,4,0.16,4,1,25,This thesis introduces a method for visualizing the spatial composition of a movie. It transforms time into space by classifying frames from a movie sequence into clusters of spatial similarity. The approach used is derived from stochastic process theory. A training set …
4,"DJL Lee, J Lee, T Siddiqui, J Kim…",You can't always sketch what you want: Understanding Sensemaking in Visual Query Systems,2019,IEEE transactions on …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/8807280/,"https://scholar.google.com/scholar?cites=7063197650394408166&as_sdt=2005&sciodt=0,5&hl=en",106,4,4,1,5,1,"Visual query systems (VQSs) empower users to interactively search for line charts with desired visual patterns, typically specified using intuitive sketch-based interfaces. Despite decades of past work on VQSs, these efforts have not translated to adoption in practice …"
4,"HK Kong, K Karahalios","Parental perceptions, experiences, and desires of music therapy",2016,AMIA Annual Symposium Proceedings,ncbi.nlm.nih.gov,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5333202/,"https://scholar.google.com/scholar?cites=16361021747040428898&as_sdt=2005&sciodt=0,5&hl=en",107,4,1,2,2,4,"Music therapy (MT) is a therapeutic practice where a therapist uses music to enhance the life quality for their patients. Children have an innate enjoyment of music, making music an effective medium for exploring their potential. In this study, we explore the parental …"
4,"T Bergstrom, K Karahalios",Distorting social feedback in visualizations of conversation,2012,2012 45th Hawaii International …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/6148670/,"https://scholar.google.com/scholar?cites=4324700543817849993&as_sdt=2005&sciodt=0,5&hl=en",108,4,0.5,2,2,8,Real-time collaborative visualization of conversation affects small group dynamics and encourages balanced participation. Visual feedback plays the role of a gentle moderator encouraging a speaker to yield the floor. To better evaluate the effect of visual feedback on …
4,"HK Kong, J Lee, J Ding, K Karahalios",EnGaze: Designing behavior visualizations with and for behavioral scientists,2016,… of the 2016 ACM Conference on …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/2901790.2901870,"https://scholar.google.com/scholar?cites=5467105911925160385&as_sdt=2005&sciodt=0,5&hl=en",109,4,1,1,4,4,"Joint attention is widely recognized as an important developmental milestone for children, and experts consider a lack of joint attention a defining characteristic of autism spectrum disorders (ASDs). While clinicians and researchers agree on the importance of joint …"
4,"C Sandvig, K Hamilton, K Karahalios, C Langbort",Data and discrimination: Converting critical concerns into productive inquiry,2014,The 64th Annual Meeting of the …,,,"https://scholar.google.com/scholar?cites=17354737826120784732&as_sdt=2005&sciodt=0,5&hl=en",110,4,0.67,1,4,6,
4,"M Eslami, A Rickman, K Vaccaro, A Aleyasen, A Vuong…",I always assumed that I wasn't really that close to [her]”: Reasoning about Invisible Algorithms in News Feeds(s. 153–162),2015,Proceedings of the 33rd …,,,"https://scholar.google.com/scholar?cites=11173177744024746002&as_sdt=2005&sciodt=0,5&hl=en",111,4,0.8,1,6,5,
4,"T Siddiqui, P Luh, Z Wang, K Karahalios…",Shapesearch: flexible pattern-based querying of trend line visualizations,2018,Proceedings of the …,dl.acm.org,https://dl.acm.org/citation.cfm?id=3275572,"https://scholar.google.com/scholar?cites=11379357442997764691&as_sdt=2005&sciodt=0,5&hl=en",112,4,2,1,5,2,"Finding visualizations with desired patterns is a common goal during data exploration. However, due to the limited expressiveness and flexibility of existing visual analytics systems, pattern-based querying of visualizations has largely been a manual process. We …"
4,"K Karahalios, FB Viégas",VisiPhone,1999,ACM SIGGRAPH 99 Conference abstracts …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/311625.311988,"https://scholar.google.com/scholar?cites=13441844912765521400&as_sdt=2005&sciodt=0,5&hl=en",114,4,0.19,2,2,21,"ACM Digital Library Logo. ACM Logo. Google, Inc. (search). Advanced Search; Browse; About; Sign in; Register. Advanced Search; Journals; Magazines; Proceedings; Books; SIGs; Conferences; People; More: Search ACM Digital Library. Search. Advanced Search. 10.1145/311625.311988 …"
4,"E Gilbert, K Karahalios",Widespread Worry and the Stock Market. ICWSM,2010,,,,"https://scholar.google.com/scholar?cites=15335921358590194613&as_sdt=2005&sciodt=0,5&hl=en",115,4,0.4,2,2,10,
4,"M Pietrowicz, M Hasegawa-Johnson…",Acoustic correlates for perceived effort levels in male and female acted voices,2017,The Journal of the …,asa.scitation.org,https://asa.scitation.org/doi/abs/10.1121/1.4997189,"https://scholar.google.com/scholar?cites=16218819187059145655&as_sdt=2005&sciodt=0,5&hl=en",116,4,1.33,1,3,3,"The best actors, particularly classic Shakespearian actors, are experts at vocal expression. With prosodic inflection, change of voice quality, and non-textual utterances, they communicate emotion, emphasize ideas, create drama, and form a complementary …"
4,"M Gao, Z Xiao, K Karahalios, WT Fu",To label or not to label: The effect of stance and credibility labels on readers' selection and perception of news articles,2018,… of the ACM on Human-Computer …,dl.acm.org,https://dl.acm.org/doi/abs/10.1145/3274324,"https://scholar.google.com/scholar?cites=6985642251835880809&as_sdt=2005&sciodt=0,5&hl=en",151,4,2,1,4,2,"Social media sites use different labels to help users find and select news feeds. For example, Blue Feed, Red Feed, a news feed created by the Wall Street Journal, use stance labels to separate news articles with opposing political ideologies to help people explore …"
